DATE,EXCHANGE,DEPOSITS_TO_EXCHANGES,WITHDRAWALS_FROM_EXCHANGES,NET_FLOW_TO_ETHEREUM
2021-05-23T00:00:00Z,balancer,1395406.1036563958,1008070.0539207791,-387336.04973561666
2021-05-23T00:00:00Z,ftx,491902.4737603278,848104.3702818749,356201.8965215471
2021-05-23T00:00:00Z,bitfinex,251564.95345331778,3092944.5268569486,2841379.573403631
2021-05-23T00:00:00Z,hitbtc,36114.67700129096,20128.052212804818,-15986.624788486144
2021-05-22T00:00:00Z,uniswap,79038603.98714915,78401960.81703529,-636643.1701138616
2021-05-22T00:00:00Z,binance,10804927.908596324,9088014.512748053,-1716913.3958482705
2021-05-22T00:00:00Z,huobi,7368854.864319686,4336261.170262753,-3032593.694056933
2021-05-22T00:00:00Z,coinbase,3844925.70136433,5072998.6596466405,1228072.9582823105
2021-05-22T00:00:00Z,okex,3786690.739479584,1620522.6048436773,-2166168.1346359067
2021-05-22T00:00:00Z,sushiswap,2354106.1297451067,2296387.144154779,-57718.98559032753
2021-05-22T00:00:00Z,gemini,1307347.0081092906,131274.78762206587,-1176072.2204872249
2021-05-22T00:00:00Z,ftx,1069768.2832444275,1620647.8927676892,550879.6095232617
2021-05-22T00:00:00Z,bancor,775253.2675208108,784012.655420846,8759.38790003513
2021-05-22T00:00:00Z,tokenlon,702938.8459079973,792811.4814536781,89872.63554568077
2021-05-22T00:00:00Z,balancer,595071.8461215673,553254.9827362096,-41816.86338535766
2021-05-22T00:00:00Z,bitfinex,326761.2274318172,35151.9919808374,-291609.2354509798
2021-05-22T00:00:00Z,hitbtc,137819.56800622016,,
2021-05-21T00:00:00Z,uniswap,110724323.72714482,107481871.37323605,-3242452.3539087772
2021-05-21T00:00:00Z,binance,11880379.193285642,13679706.484878397,1799327.2915927544
2021-05-21T00:00:00Z,huobi,7530594.960838662,10471564.229640866,2940969.2688022032
2021-05-21T00:00:00Z,gemini,2883881.902008985,1464012.5863425338,-1419869.3156664514
2021-05-21T00:00:00Z,sushiswap,2664991.9829027043,2227645.760771114,-437346.22213159036
2021-05-21T00:00:00Z,coinbase,2460482.902285332,5180002.357474617,2719519.455189285
2021-05-21T00:00:00Z,okex,1463273.3851154658,3449236.4252265715,1985963.0401111057
2021-05-21T00:00:00Z,tokenlon,1237612.0754030026,1237063.381810161,-548.6935928415041
2021-05-21T00:00:00Z,balancer,1005075.3154471505,846706.0921866175,-158369.22326053295
2021-05-21T00:00:00Z,bitfinex,904213.9314702608,585875.8360210231,-318338.09544923774
2021-05-21T00:00:00Z,ftx,889074.700240637,1188400.739415612,299326.0391749751
2021-05-21T00:00:00Z,bancor,830145.5161119734,568663.8950503888,-261481.62106158468
2021-05-21T00:00:00Z,hitbtc,25063.282997823975,1599.5545543050239,-23463.72844351895
2021-05-20T00:00:00Z,uniswap,39959562.093267135,40400376.90387544,440814.81060830504
