POOL_ADDRESS,POOL_NAME,GROSS_LIQUIDITY
0x126b3e5bfe28244626d4b294a84c50d8a2297859,STMX-WETH 3000 60,432472.1655509569
0xf9d00163f49fb4429714b50242524b43aa404c7b,DRC-WETH 3000 60,420381.6930533506
0x695b30d636e4f232d443af6a93df95afd2ff485c,WETH-BEPRO 3000 60,415792.9950974949
0xf5381d47148ee3606448df3764f39da0e7b25985,POLS-WETH 3000 60,413682.6907432852
0x14de8287adc90f0f95bf567c0707670de52e3813,RAI-WETH 3000 60,409281.77325063327
0x8b6ed5fa776f10787f1171bdeea4f3c40974df6e,DENT-WETH 10000 200,403261.36752955936
0xfaa318479b7755b2dbfdd34dc306cb28b420ad12,UNI-WETH 500 10,398671.5502433487
0x70e61de63eb3229f2ad8668a8cbd87b7a87b5f8b,ADX-WETH 3000 60,389922.3710545252
0x9663f2ca0454accad3e094448ea6f77443880454,LUSD-WETH 3000 60,387412.1151974927
0xefc19ba107bf1ce57a7ab5dea228fffb899abeb0,WETH-DIP 3000 60,372130.14497423224
0xc3f6b81fb9e6db259272026601689e383f94c0b0,OVR-WETH 10000 200,353099.4268677846
0x28e810d4b33ae24fe6f721a21e42230bcb019da1,WETH-DFND 3000 60,340076.01292461745
0x13dc0a39dc00f394e030b97b0b569dedbe634c0d,ANKR-WETH 3000 60,334136.92578930536
0x80c7770b4399ae22149db17e97f9fc8a10ca5100,LYXe-WETH 3000 60,328810.5718019264
0x8581788cef3b7ee7313fea15fe279dc2f6c43899,FLX-WETH 3000 60,328745.6513134088
0x2efec2097beede290b2eed63e2faf5ecbbc528fc,WETH-TRU 3000 60,321810.75530561083
0x2dd56b633faa1a5b46107d248714c9ccb6e20920,REN-WETH 3000 60,309751.4358964597
0x99c7550be72f05ec31c446cd536f8a29c89fdb77,MATIC-WETH 10000 200,295707.2897399708
0xb0a115d33a93b6ee11c8c0539e30ae648aa5753f,LEASH-SHIB 10000 200,285739.544124061
