BLOCK_HOUR,POOL_ADDRESS,POOL_NAME,N_TRADES,N_TRADERS,TRADING_VOL_TOKEN0,TRADING_VOL_TOKEN1
2021-05-24T00:00:00Z,0x13dc0a39dc00f394e030b97b0b569dedbe634c0d,ANKR-WETH 3000 60,37,13,36218.96316047162,263869.4025400804
2021-05-24T00:00:00Z,0x22a80b1365b651eb61ed90f5d732be7735efc43f,RAZOR-WETH 3000 60,36,14,25404.846208252762,98217.88608785512
2021-05-24T00:00:00Z,0x122e55503a0b2e5cd528effa44d0b2fea300f24b,WOO-WETH 3000 60,36,26,-6587.945206718741,50822.80837409188
2021-05-24T00:00:00Z,0x85205ea75a442f6897abef6b7e9d0c8e9366b57f,RVP-WETH 3000 60,33,18,-3408.8604020080834,21573.502430532866
2021-05-24T00:00:00Z,0x68a1b3dbdfaa0529371ac8e9d87bec40fac254cb,WETH-TERR 10000 200,32,17,12565.766945829677,15208.747022046391
2021-05-24T00:00:00Z,0x1c4f761649c3d4dd31a83ea0548f79585c3999ba,WETH-ID 3000 60,32,25,8305.973401682828,30218.487442755988
2021-05-24T00:00:00Z,0x56ea002b411fd5887e55329852d5777ecb170713,RLC-WETH 10000 200,32,8,281121.47598033404,418000.0600387959
2021-05-24T00:00:00Z,0x5654b1dd37af02f327d98c04b72acdf01ba2835c,IGG-WETH 3000 60,32,21,-14025.057301665405,60349.202789817085
2021-05-24T00:00:00Z,0x4f2f3bdf115539a78a30769eb42489bd0f9d47da,USDC-DHT 3000 60,32,11,-2204.7439273037176,381568.83823178854
2021-05-24T00:00:00Z,0x126b3e5bfe28244626d4b294a84c50d8a2297859,STMX-WETH 3000 60,31,14,35626.026811349904,116147.81697687866
2021-05-24T00:00:00Z,0x784479024251d7f3a6437346b5962c28c8e45061,WETH-FRM 3000 60,30,19,12968.03734796646,117867.34722125158
2021-05-24T00:00:00Z,0xb8c05b7ca698f7cfd9b8a08f177e0ac5f2696bf9,erowan-USDT 3000 60,28,21,-15724.51812630777,50223.62349418605
2021-05-24T00:00:00Z,0x775d0c18b291b889ab3d7f16338183bbfaf63f7a,YFI-WBTC 3000 60,28,8,-76004.14756294305,129248.31339627592
2021-05-24T00:00:00Z,0xe24442fbdf9dfb155f76821d1bb2c3794eddd873,NEXO-USDT 10000 200,28,19,-38981.58827999127,79389.98082406574
2021-05-24T00:00:00Z,0xb773a5a7ee006d2675537588e3233ad37be53bb9,WETH-C3 10000 200,28,24,464.0126394495164,7271.1283617195495
2021-05-24T00:00:00Z,0x4628a0a564debfc8798eb55db5c91f2200486c24,RNDR-WETH 3000 60,28,12,-590.3823363090199,29464.21107319413
2021-05-24T00:00:00Z,0x71eaa3f86a541177f64a15c5f5479aedcc426860,FORTH-USDT 3000 60,27,14,-39210.79180645364,91412.1031529722
2021-05-24T00:00:00Z,0x92f0b57e3814e4bd74ef6a6fd6d825db522ccfe2,SOUL-WETH 3000 60,27,10,1255.280106682443,61135.33990921819
2021-05-24T00:00:00Z,0x22298c24aa47ce21fc315d5cfde19811088f2000,CHSB-WETH 3000 60,27,11,-20266.200682945866,129650.29953237806
2021-05-24T00:00:00Z,0x5d4f3c6fa16908609bac31ff148bd002aa6b8c83,LINK-WETH 500 10,27,16,-130.90207955348478,23472.678400108387
2021-05-24T00:00:00Z,0xe8b977aa5a9303fa94818441d78575e0f697ae72,WETH-UOS 10000 200,26,20,45254.910856069415,112015.06834138339
2021-05-24T00:00:00Z,0xbd5fdda17bc27bb90e37df7a838b1bfc0dc997f5,USDC-EURS 500 10,26,12,-238076.39767972837,1155177.0517322232
2021-05-24T00:00:00Z,0x0e2c4be9f3408e5b1ff631576d946eb8c224b5ed,WETH-GRT 3000 60,26,22,8048.0101253846115,25472.920046222964
2021-05-24T00:00:00Z,0x68082ecc5bbad8fe77c2cb9d0e3403d9a00ccbc2,WDOGE-WETH 10000 200,25,4,985130.9453129501,2052556.81283628
2021-05-24T00:00:00Z,0x2418c488bc4b0c3cf1edfc7f6b572847f12ed24f,LYXe-WETH 10000 200,25,25,-18645.217683861207,66011.95693783269
2021-05-24T00:00:00Z,0xea4ba4ce14fdd287f380b55419b1c5b6c3f22ab6,COMP-WETH 3000 60,25,13,-1050.7923256931954,131620.66652128453
2021-05-24T00:00:00Z,0x4c1d1c02fbb00757eb55f1827323cc9c8f1d43a5,AOC-WETH 3000 60,25,5,7955.196324323947,19823.275706573328
2021-05-24T00:00:00Z,0x32a2c4c25babedc810fa466ab0f0c742df3a3555,CFi-WETH 3000 60,24,20,-16898.892462491312,24868.569052928477
2021-05-24T00:00:00Z,0x2b255d3785da10e1753dd4bff781c04ca3c87686,DAI-TRIBE 500 10,24,8,-126387.72040040999,417814.3305342135
2021-05-24T00:00:00Z,0xb10adb35ea2f2490eb338bdc11dc723ad40f128f,WETH-KICK 10000 200,24,16,-566.6418736085143,15843.641403896629
2021-05-24T00:00:00Z,0xa173bcfeb3f29800ec0bbd706053a5d679512cd6,NAOS-WETH 10000 200,23,15,-7719.432619019639,29957.87923605486
