BLOCK_HOUR,N_POOLS,TOTAL_LIQUIDITY_USD
2021-05-18T14:00:00Z,204,986470354.9583567
2021-05-18T13:00:00Z,183,1000822855.8496773
2021-05-18T12:00:00Z,192,1030908577.689005
2021-05-18T11:00:00Z,195,1003374105.131504
2021-05-18T10:00:00Z,198,991869600.0278131
2021-05-18T09:00:00Z,180,988600928.795202
2021-05-18T08:00:00Z,180,937831610.8851504
2021-05-18T07:00:00Z,190,1038433205.6223832
2021-05-18T06:00:00Z,205,1075183419.4994695
2021-05-18T05:00:00Z,200,1034440993.9773213
2021-05-18T04:00:00Z,209,1033849529.965788
2021-05-18T03:00:00Z,203,950358647.1263496
2021-05-18T02:00:00Z,189,902278483.846215
2021-05-18T01:00:00Z,186,953551266.7430143
2021-05-18T00:00:00Z,208,976423303.9802314
2021-05-17T23:00:00Z,194,936215500.5233197
2021-05-17T22:00:00Z,213,960412725.4023343
2021-05-17T21:00:00Z,188,911440288.2558175
2021-05-17T20:00:00Z,189,953227981.397869
2021-05-17T19:00:00Z,188,920913125.0103958
2021-05-17T18:00:00Z,177,931881649.27231
2021-05-17T17:00:00Z,199,933030271.9648917
2021-05-17T16:00:00Z,211,945054606.8655835
2021-05-17T15:00:00Z,209,952448302.2883104
2021-05-17T14:00:00Z,26,500410339.67979884
