HOUR,DEPOSITS,WITHDRAWALS
2021-05-21T02:00:00Z,13628794.369255815,-4081655.301092005
2021-05-21T01:00:00Z,14269001.570172552,-3031633.859180768
2021-05-21T00:00:00Z,2982726.6219810564,-25901482.98287071
2021-05-20T23:00:00Z,4676210.543475278,-5788992.5119687375
2021-05-20T22:00:00Z,871359.1902564233,-1241179.1068703122
2021-05-20T21:00:00Z,4471066.692849594,-8974137.151901126
2021-05-20T20:00:00Z,2137336.657059909,-133256.6059723199
2021-05-20T19:00:00Z,18100983.5034847,-10039493.784863282
2021-05-20T18:00:00Z,2944361.527640564,-21387122.004399385
2021-05-20T17:00:00Z,8715262.84410971,-4232202.747387083
2021-05-20T16:00:00Z,1798850.9543954502,-3118418.4394111587
2021-05-20T15:00:00Z,7727637.905839658,-3595944.0977179036
2021-05-20T14:00:00Z,18607690.06925885,-8681963.765657753
2021-05-20T13:00:00Z,60300563.30624318,-15063552.067388026
2021-05-20T12:00:00Z,21009591.67987028,-24080728.969332807
2021-05-20T11:00:00Z,9972327.533048019,-2145465.3090746887
2021-05-20T10:00:00Z,13765374.18182178,-11396724.287539002
2021-05-20T09:00:00Z,11967593.120536195,-1468458.8220458084
2021-05-20T08:00:00Z,7555044.589559192,-1498632.6476202747
2021-05-20T07:00:00Z,19392415.133180324,-7540767.109077709
2021-05-20T06:00:00Z,10370222.540097984,-1683124.299648529
2021-05-20T05:00:00Z,2056550.7720826808,-3610838.7386784055
2021-05-20T04:00:00Z,5329343.240507219,-7957757.145462122
2021-05-20T03:00:00Z,30094075.337190866,-4207572.462750355
2021-05-20T02:00:00Z,51209876.717642546,-4813910.642854367
2021-05-20T01:00:00Z,21160029.529075228,-15348008.829980185
2021-05-20T00:00:00Z,990938.6050519334,-8482525.000884661
2021-05-19T23:00:00Z,6131282.625392365,-1697891.7869895578
2021-05-19T22:00:00Z,16024800.580636445,-4025753.8708058023
2021-05-19T21:00:00Z,19165636.566123195,-3674396.8493237183
2021-05-19T20:00:00Z,15350267.03844563,-12970251.74786123
2021-05-19T19:00:00Z,5161930.25750518,-6561106.678244419
2021-05-19T18:00:00Z,43874904.526469916,-43035524.42952526
2021-05-19T17:00:00Z,39036739.647700235,-32528209.741203047
2021-05-19T16:00:00Z,19244257.51942523,-17689091.23514232
2021-05-19T15:00:00Z,12892280.539439669,-10845282.271415226
2021-05-19T14:00:00Z,36890442.810969695,-34928283.954430394
2021-05-19T13:00:00Z,7309809.287039388,-34774173.32955319
2021-05-19T12:00:00Z,11394188.500248928,-34234658.62465747
2021-05-19T11:00:00Z,13212120.709697718,-41954561.403996214
2021-05-19T10:00:00Z,15829829.261001334,-8602983.94945507
2021-05-19T09:00:00Z,14547490.965353983,-21665572.70001886
2021-05-19T08:00:00Z,7530939.073507974,-4809626.785065453
2021-05-19T07:00:00Z,24378322.769351084,-19596395.808734857
2021-05-19T06:00:00Z,7575399.226882907,-17494080.305105373
2021-05-19T05:00:00Z,15871080.187059272,-10828921.907654153
2021-05-19T04:00:00Z,16752537.67971158,-30098962.930358153
2021-05-19T03:00:00Z,9846578.344917923,-8204436.639437972
2021-05-19T02:00:00Z,6163466.02714595,-9491967.671489831
2021-05-19T01:00:00Z,8906827.219735641,-10221395.369217426
2021-05-19T00:00:00Z,1754985.1675238432,-3859118.8367844317
2021-05-18T23:00:00Z,5041112.578085617,-8346688.909169318
2021-05-18T22:00:00Z,4546148.708701004,-1012825.6783507752
2021-05-18T21:00:00Z,1747341.6960731454,-2518969.724372619
2021-05-18T20:00:00Z,3316910.055111584,-1044038.005396063
2021-05-18T19:00:00Z,18980380.32818869,-1922431.2692275369
2021-05-18T18:00:00Z,981178.4229967996,-530112.9189688634
2021-05-18T17:00:00Z,9753448.066708006,-4824298.148575105
2021-05-18T16:00:00Z,4390763.95874764,-4515320.259982392
2021-05-18T15:00:00Z,7487545.154900811,-4702489.725820645
2021-05-18T14:00:00Z,66451708.8307937,-90149612.02264465
2021-05-18T13:00:00Z,12330574.817947255,-28007632.84818774
2021-05-18T12:00:00Z,7435772.380388033,-3859749.5622881055
2021-05-18T11:00:00Z,3598082.4002297707,-5709641.067264293
2021-05-18T10:00:00Z,13318706.394684957,-9205691.953695681
2021-05-18T09:00:00Z,27468844.386957075,-14863902.277502606
2021-05-18T08:00:00Z,10374140.221604725,-13686766.757099442
2021-05-18T07:00:00Z,2333864.3613412036,-1307389.315786127
2021-05-18T06:00:00Z,12025523.524440961,-5959040.828117474
2021-05-18T05:00:00Z,15334049.230043,-3202808.931680951
2021-05-18T04:00:00Z,3525748.4688542937,-4959354.56862539
2021-05-18T03:00:00Z,4399090.249546132,-1737492.9137035606
2021-05-18T02:00:00Z,26893036.35629812,-7194861.1143762665
2021-05-18T01:00:00Z,7448684.627626554,-2602442.574769616
2021-05-18T00:00:00Z,33841983.64579462,-8538789.44136145
2021-05-17T23:00:00Z,16451412.975865716,-15749998.609749028
2021-05-17T22:00:00Z,21853494.105777625,-7632410.513314888
2021-05-17T21:00:00Z,5037661.038288104,-14595339.970303366
2021-05-17T20:00:00Z,7086371.8158376645,-4695830.564858817
2021-05-17T19:00:00Z,6123333.1329179695,-4530259.798495138
2021-05-17T18:00:00Z,9761966.737821037,-1170471.4781139293
2021-05-17T17:00:00Z,20926648.549868546,-17746684.97508741
2021-05-17T16:00:00Z,11691822.071672471,-10836440.646953553
2021-05-17T15:00:00Z,10982467.316561121,-11807622.492991943
2021-05-17T14:00:00Z,3871597.610415392,-4559909.033566889
2021-05-17T13:00:00Z,6504761.610258732,-1689660.9551164682
2021-05-17T12:00:00Z,8557200.887720784,-4115988.096051999
2021-05-17T11:00:00Z,16126220.896774404,-6759519.344286488
